Date,index,Apple,market return,Apple return
5/9/2014,1878.47998,81.835602,0.001519476,-0.004166723
5/12/2014,1896.650024,82.854458,0.009672738,0.012450034
5/13/2014,1897.449951,82.984437,0.000421758,0.001568763
5/14/2014,1888.530029,82.999806,-0.004701005,0.000185203
5/15/2014,1870.849976,82.294014,-0.009361807,-0.008503538
5/16/2014,1877.859985,83.50854,0.003746965,0.014758376
5/19/2014,1885.079956,84.498047,0.003844787,0.011849171
5/20/2014,1872.829956,84.514819,-0.006498398,0.00019849
5/21/2014,1888.030029,84.738434,0.008116099,0.002645867
5/22/2014,1892.48999,84.8726,0.00236223,0.001583296
5/23/2014,1900.530029,85.831363,0.004248392,0.011296496
5/27/2014,1911.910034,87.438617,0.005987806,0.018725719
5/28/2014,1909.780029,87.212202,-0.001114072,-0.002589417
5/29/2014,1920.030029,88.801281,0.00536711,0.018220833
5/30/2014,1923.569946,88.468654,0.001843678,-0.003745746
6/2/2014,1924.969971,87.860693,0.000727826,-0.00687205
6/3/2014,1924.23999,89.103164,-0.000379217,0.014141375
6/4/2014,1927.880005,90.120624,0.001891664,0.011418899
6/5/2014,1940.459961,90.474218,0.00652528,0.003923564
6/6/2014,1949.439941,90.225449,0.004627758,-0.002749612
6/9/2014,1951.27002,91.669173,0.000938772,0.016001295
6/10/2014,1950.790039,92.207256,-0.000245984,0.005869836
6/11/2014,1943.890015,91.825709,-0.003537041,-0.004137928
6/12/2014,1930.109985,90.289737,-0.007088894,-0.016727037
6/13/2014,1936.160034,89.301625,0.003134562,-0.010943791
6/16/2014,1937.780029,90.201684,0.000836705,0.010078865
6/17/2014,1941.98999,90.084289,0.002172569,-0.001301472
6/18/2014,1956.97998,90.182121,0.007718881,0.001086005
6/19/2014,1959.47998,89.869056,0.001277479,-0.003471475
6/20/2014,1962.869995,88.939649,0.001730059,-0.010341791
6/23/2014,1962.609985,88.861381,-0.000132464,-0.000880012
6/24/2014,1949.97998,88.323299,-0.006435311,-0.006055296
6/25/2014,1959.530029,88.401567,0.004897511,0.000886153
6/26/2014,1957.219971,88.929864,-0.001178884,0.005976104
6/27/2014,1960.959961,89.986458,0.001910869,0.011881206
6/30/2014,1960.22998,90.915865,-0.000372257,0.010328299
7/1/2014,1973.319946,91.493074,0.006677771,0.006348826
7/2/2014,1974.619995,91.453948,0.000658813,-0.000427639
7/3/2014,1985.439941,91.992023,0.005479508,0.005883562
7/7/2014,1977.650024,93.889978,-0.003923522,0.020631735
7/8/2014,1963.709961,93.283413,-0.007048802,-0.006460381
7/9/2014,1972.829956,93.322547,0.004644268,0.000419517
7/10/2014,1964.680054,92.980134,-0.004131072,-0.003669135
7/11/2014,1967.569946,93.156233,0.001470922,0.001893942
7/14/2014,1977.099976,94.359571,0.004843553,0.012917418
7/15/2014,1973.280029,93.254065,-0.001932096,-0.011715886
7/16/2014,1981.569946,92.725767,0.004201085,-0.005665147
7/17/2014,1958.119995,91.072394,-0.011834026,-0.017830783
7/18/2014,1978.219971,92.383355,0.010264936,0.014394713
7/21/2014,1973.630005,91.903977,-0.002320251,-0.005189008
7/22/2014,1983.530029,92.66707,0.00501615,0.008303155
7/23/2014,1987.01001,95.083537,0.001754438,0.026076869
7/24/2014,1987.97998,94.927002,0.000488156,-0.001646289
7/25/2014,1978.339966,95.55313,-0.00484915,0.006595889
7/28/2014,1978.910034,96.873869,0.000288155,0.013822038
7/29/2014,1969.949951,96.247741,-0.004527787,-0.006463332
7/30/2014,1970.069946,96.02273,6.09E-05,-0.002337831
7/31/2014,1930.670044,93.527995,-0.01999924,-0.025980671
8/1/2014,1925.150024,94.046507,-0.002859121,0.005543923
8/4/2014,1938.98999,93.518209,0.007189032,-0.005617412
8/5/2014,1920.209961,93.058402,-0.00968547,-0.004916764
8/6/2014,1920.23999,92.901867,1.56E-05,-0.001682116
8/7/2014,1909.569946,92.892042,-0.00555662,-0.000105757
8/8/2014,1931.589966,93.147667,0.011531403,0.00275185
8/11/2014,1936.920044,94.376658,0.002759425,0.013194007
8/12/2014,1933.75,94.356997,-0.001636642,-0.000208325
8/13/2014,1946.719971,95.605649,0.00670716,0.013233274
8/14/2014,1955.180054,95.861281,0.004345814,0.002673817
8/15/2014,1955.060059,96.333216,-6.14E-05,0.004923103
8/18/2014,1971.73999,97.493384,0.008531672,0.012043281
8/19/2014,1981.599976,98.840353,0.005000652,0.013816004
8/20/2014,1986.51001,98.879682,0.002477813,0.000397904
8/21/2014,1992.369995,98.889516,0.002949889,9.95E-05
8/22/2014,1988.400024,99.617076,-0.001992587,0.007357302
8/25/2014,1997.920044,99.83338,0.004787779,0.002171355
8/26/2014,2000.02002,99.194303,0.001051081,-0.006401436
8/27/2014,2000.119995,100.41346,5.00E-05,0.012290595
8/28/2014,1996.73999,100.531446,-0.001689901,0.001175002
8/29/2014,2003.369995,100.777244,0.003320415,0.002444986
9/2/2014,2002.280029,101.563801,-0.000544066,0.007804907
9/3/2014,2000.719971,97.27708,-0.000779141,-0.042207174
9/4/2014,1997.650024,96.470863,-0.001534421,-0.008287841
9/5/2014,2007.709961,97.306575,0.005035886,0.008662844
9/8/2014,2001.540039,96.706827,-0.003073114,-0.006163489
9/9/2014,1988.439941,96.343043,-0.006545009,-0.00376172
9/10/2014,1995.689941,99.302455,0.003646074,0.030717444
9/11/2014,1997.449951,99.725228,0.000881906,0.004257427
9/12/2014,1985.540039,99.951366,-0.005962558,0.002267611
9/15/2014,1984.130005,99.921864,-0.000710151,-0.000295164
9/16/2014,1998.97998,99.164809,0.007484376,-0.00757647
9/17/2014,2001.569946,99.872708,0.001295644,0.007138611
9/18/2014,2011.359985,100.079178,0.00489118,0.002067332
9/19/2014,2010.400024,99.263126,-0.00047727,-0.008154064
